FEATURE_ID,NAME_USED,SYNONYMS,CPDAT_SUPERCLASSES,CPDAT_HARMONIZED,DEEPSEEK_RAG,GPT_NO_RAG,GPT_RAG,SEARCH_GPT
760,Pf 03814735,"('N-(2-((1s,4r)-6-((4-(cyclobutylamino)-5-(trifluoromethyl)pyrimidin-2-yl)amino)-1,2,3,4-tetrahydro-1,4-epiminonaphthalen-9-yl)-2-oxoethyl)acetamide', 'Pf 03814735', 'N-[2-[(1s,4r)-6-[[4-(cyclobutylamino)-5-(trifluoromethyl)-2-pyrimidinyl]amino]-1,2,3,4-tetrahydronaphthalen-1,4-imin-9-yl]-2-oxoethyl]-acetamide', 'N-{2-[(1s,4r)-6-{[4-(cyclobutylamino)-5-(trifluoromethyl)pyrimidin-2-yl]amino}-1,2,3,4-tetrahydro-1,4-epiminonaphthalen-9-yl]-2-oxoethyl}acetamide', 'Pf 3814735')",[],,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
761,Celebra,"('Celecoxib', 'Sc 58635', 'Celebrex', 'Celebra', 'Onsenal')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
762,Camicinal,"('Camicinal', 'Camicinal free base', 'N-(3-fluorophenyl)-1-((4-(((3s)-3-methyl-1-piperazinyl)methyl)phenyl)acetyl)-4-piperidinamine', '(s)-1-(4-((3-fluorophenyl)amino)piperidin-1-yl)-2-(4-((3-methylpiperazin-1-yl)methyl)phenyl)ethan-1-one', 'Camicinal [usan:inn]')",[],,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
763,Feloday,"('Felodipine', 'Plendil', 'Flodil', 'Renedil', 'Feloday')",[],,['MEDICAL'],['INFO'],['MEDICAL'],['MEDICAL']
764,Ravoxertinib,"('Ravoxertinib', '(s)-1-(1-(4-chloro-3-fluorophenyl)-2-hydroxyethyl)-4-(2-((1-methyl-1h-pyrazol-5-yl)amino)pyrimidin-4-yl)pyridin-2(1h)-one', 'Ravoxertinib [inn]', 'Ravoxertinib [usan]', 'Ravoxertinib (usan/inn)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
765,Meclofenamate,"('Meclofenamate (sodium)', 'Meclofenamic acid (sodium)', 'Meclofenamic acid', 'Meclofenamate', 'Meclophenamic acid')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
766,Cetrorelix (acetate),"('Cetrorelix (acetate)',)",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
767,Senicapoc,"('Senicapoc', 'Benzeneacetamide, 4-fluoro-alpha-(4-fluorophenyl)-alpha-phenyl-', 'Senicapoc (usan)', 'Bis(4-fluorophenyl)phenylacetamide', 'Senicapoc [usan:inn]')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
768,Emricasan,"('Emricasan', 'Pf 03491390', '(s)-3-((s)-2-(2-(2-tert-butylphenylamino)-2-oxoacetamido)propanamido)-4-oxo-5-(2,3,5,6-tetrafluorophenoxy)pentanoic acid', '(s)-3-((s)-2-(2-((2-(tert-butyl)phenyl)amino)-2-oxoacetamido)propanamido)-4-oxo-5-(2,3,5,6-tetrafluorophenoxy)pentanoic acid', '(3s)-3-[[(2s)-2-[[2-(2-tert-butylanilino)-2-oxoacetyl]amino]propanoyl]amino]-4-oxo-5-(2,3,5,6-tetrafluorophenoxy)pentanoic acid')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
769,Gemcitabine,"('Gemcitabine', 'Ly 188011', 'Dfdc', ""Cytidine, 2'-deoxy-2',2'-difluoro-"", 'Gemcitabine free base')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
770,Lipobay,"('Cerivastatin (sodium)', 'Cerivastatin', 'Baycol', 'Cerivastatin acid', 'Lipobay')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
771,Indisulam,"('Indisulam', 'E 7070', 'N-(3-chloro-1h-indol-7-yl)benzene-1,4-disulfonamide', 'N-(3-chloro-1h-indol-7-yl)-1,4-benzenedisulfonamide', 'N~1~-(3-chloro-1h-indol-7-yl)benzene-1,4-disulfonamide')",[],,['MEDICAL'],"['MEDICAL', 'INDUSTRIAL']",['MEDICAL'],['MEDICAL']
772,Arimoclomol,"('Arimoclomol (maleate)', 'Arimoclomol', 'Arimoclomol (usan)', '(3z)-n-[(2r)-2-hydroxy-3-piperidin-1-ylpropoxy]-1-oxidopyridin-1-ium-3-carboximidoyl chloride')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
773,Inavolisib,"('Inavolisib', 'Ro7113755', '(2s)-2-[[2-[(4s)-4-(difluoromethyl)-2-oxo-1,3-oxazolidin-3-yl]-5,6-dihydroimidazo[1,2-d][1,4]benzoxazepin-9-yl]amino]propanamide', '(s)-2-((2-((s)-4-(difluoromethyl)-2-oxooxazolidin-3-yl)-5,6-dihydrobenzo[f]imidazo[1,2-d][1,4]oxazepin-9-yl)amino)propanamide', 'Inavolisib [usan]')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
774,T 0901317,"('T 0901317', 'N-[4-(1,1,1,3,3,3-hexafluoro-2-hydroxypropan-2-yl)phenyl]-n-(2,2,2-trifluoroethyl)benzenesulfonamide', 'Benzenesulfonamide, n-(2,2,2-trifluoroethyl)-n-[4-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]phenyl]-', 'N-(2,2,2-trifluoroethyl)-n-{4-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]phenyl}benzenesulfonamide', 'N-(2,2,2-trifluoroethyl)-n-[4-[2,2,2-trifluoro-1-hydroxy-1-(trifluoromethyl)ethyl]phenyl]benzenesulfonamide')",[],,"['MEDICAL', 'INDUSTRIAL']",['INFO'],['INFO'],['INFO']
775,Belnacasan,"('Belnacasan', 'Belnacasan (vx-765)', 'Belnacasan (vx765)', 'Belnacasan (usan)', 'Belnacasan [usan]')",[],,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
776,Copiktra,"('Duvelisib', '(s)-3-(1-((9h-purin-6-yl)amino)ethyl)-8-chloro-2-phenylisoquinolin-1(2h)-one', 'Copiktra', '(s)-3-(1-(9h-purin-6-ylamino)ethyl)-8-chloro-2-phenylisoquinolin-1(2h)-one', 'Duvelisib (ipi-145, ink1197)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
777,Lupinidine,"('Sparteine', 'Lupinidine', 'Spartein', 'Lupinidin', 'Sparteinum')",[],,['INFO'],['INFO'],['INFO'],['INFO']
778,Sibelium,"('Flunarizine (dihydrochloride)', 'Flunarizine', 'Sibelium', 'Flunarizinum [inn-latin]', 'Flunarizina [inn-spanish]')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
779,Indibulin,"('Indibulin', 'D 24851', '24851', 'Indibulin [usan:inn]', 'Indibulin (usan/inn)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
780,Bictegravir,"('Bictegravir', ""(2r,5s,13ar)-8-hydroxy-7,9-dioxo-n-(2,4,6-trifluorobenzyl)-2,3,4,5,7,9,13,13a-octahydro-2,5-methanopyrido[1',2':4,5]pyrazino[2,1-b][1,3]oxazepine-10-carboxamide"", '(1s,11r,13r)-5-hydroxy-3,6-dioxo-n-[(2,4,6-trifluorophenyl)methyl]-12-oxa-2,9-diazatetracyclo[11.2.1.02,11.04,9]hexadeca-4,7-diene-7-carboxamide', 'Bictegravir [inn]', 'Bictegravir [usan:inn]')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
781,Teldrin,"('Chlorpheniramine (maleate)', 'Chlorphenamine maleate', 'Chlorpheniramine', 'Chlorphenamine', 'Teldrin')",[],,['MEDICAL'],['INDUSTRIAL'],['MEDICAL'],['MEDICAL']
782,Polaramine,"('Dexchlorpheniramine (maleate)', 'S-chlorpheniramine maleate salt', 'Chlorpheniramine', 'Polaramine', 'Dexclorfeniramina')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
783,Baytril,"('Enrofloxacin', 'Baytril', 'Enrofloxacine', 'Enrofloxacino', 'Enrofloxacinum')",[],,"['MEDICAL', 'INDUSTRIAL']",['MEDICAL'],['INFO'],['INFO']
784,Fotivda,"('Tivozanib', 'Tivozanib (av-951)', 'Av 951', ""N-[2-chloro-4-[(6,7-dimethoxy-4-quinolyl)oxy]phenyl]-n'-(5-methyl-3-isoxazolyl)urea"", 'Fotivda')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
785,Seltorexant,"('Seltorexant', '[2-(4,6-dimethylpyrimidin-2-yl)-1,3,3a,4,6,6a-hexahydropyrrolo[3,4-c]pyrrol-5-yl]-[2-fluoro-6-(triazol-2-yl)phenyl]methanone', 'Seltorexant [usan]', 'Seltorexant (usan/inn)', 'Ex-a4759')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
786,Gandotinib,"('Gandotinib', 'Ly 2784544', 'Gandotinib (ly2784544)', 'Gandotinib [usan:inn]', 'Gandotinib (usan)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
787,Example 82 [wo2013103973a1],"('Ex-a2760', 'S8823', 'Compound 28 [pmid: 30067909]', 'Compound 9aq [wo2013103973a1]', 'Example 82 [wo2013103973a1]')",[],,['INFO'],['INFO'],['INFO'],['INFO']
788,Dasotraline,"('Dasotraline (hydrochloride)', 'Dasotraline', '(1r,4s)-4-(3,4-dichlorophenyl)-1,2,3,4-tetrahydronaphthalen-1-amine', '(1r,4s)-trans-norsertraline', 'Norsertraline, (1r,4s)-trans-')",[],,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
789,Valemetostat,"('Valemetostat (tosylate)', 'Valemetostat', '(2r)-7-chloro-2-[4-(dimethylamino)cyclohexyl]-n-[(4,6-dimethyl-2-oxo-1h-pyridin-3-yl)methyl]-2,4-dimethyl-1,3-benzodioxole-5-carboxamide', 'Valemetostat 2hcl', 'Valemetostat [inn]')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
790,S 23,"('(s)-3-(4-chloro-3-fluorophenoxy)-n-(4-cyano-3-(trifluoromethyl)phenyl)-2-hydroxy-2-methylpropanamide', '(2s)-3-(4-chloro-3-fluorophenoxy)-n-[4-cyano-3-(trifluoromethyl)phenyl]-2-hydroxy-2-methylpropanamide', 'S 23', 'S-23', '(2s)-3-(4-chloro-3-fluorophenoxy)-n-(4-cyano-3-(trifluoromethyl)phenyl)-2-hydroxy-2-methylpropanamide')",[],,['INFO'],['INDUSTRIAL'],['INFO'],['INFO']
791,Clorprenaline hydrochloride,"('Clorprenaline hydrochloride', 'Clorprenalina', 'Benzenemethanol, 2-chloro-.alpha.-[[(1-methylethyl)amino]methyl]-', 'Clorprenalinum', 'Isoprophenamin')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
792,Proguanil,"('Proguanil', '(1e)-1-[amino-(4-chloroanilino)methylidene]-2-propan-2-ylguanidine')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
793,Encenicline,"('Encenicline hydrochloride', 'Encenicline', 'N-[(3r)-1-azabicyclo[2.2.2]octan-3-yl]-7-chloro-1-benzothiophene-2-carboxamide', '(r)-7-chloro-n-(quinuclidin-3-yl)benzo[b]thiophene-2-carboxamide', 'Encenicline [usan:inn]')",[],,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
794,Piqray,"('Alpelisib', 'Piqray', 'Alpelisib (byl719)', '(s)-n1-(4-methyl-5-(2-(1,1,1-trifluoro-2-methylpropan-2-yl)pyridin-4-yl)thiazol-2-yl)pyrrolidine-1,2-dicarboxamide', '(2s)-n1-[4-methyl-5-[2-(2,2,2-trifluoro-1,1-dimethylethyl)-4-pyridinyl]-2-thiazolyl]-1,2-pyrrolidinedicarboxamide')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
795,Mirdametinib,"('Pd 0325901', 'Mirdametinib', '(r)-n-(2,3-dihydroxypropoxy)-3,4-difluoro-2-((2-fluoro-4-iodophenyl)amino)benzamide', 'N-[(2r)-2,3-dihydroxypropoxy]-3,4-difluoro-2-[(2-fluoro-4-iodophenyl)amino]benzamide', '(r)-n-(2,3-dihydroxypropoxy)-3,4-difluoro-2-(2-fluoro-4-iodophenylamino)benzamide')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
796,Aptivus,"('Tipranavir', 'Aptivus', 'N-(3-{(1r)-1-[(6r)-4-hydroxy-2-oxo-6-phenethyl-6-propyl-5,6-dihydro-2h-pyran-3-yl]propyl}phenyl)-5-(trifluoromethyl)-2-pyridinesulfonamide', 'N-(3-{(1r)-1-[(6r)-4-hydroxy-2-oxo-6-(2-phenylethyl)-6-propyl-5,6-dihydro-2h-pyran-3-yl]propyl}phenyl)-5-(trifluoromethyl)pyridine-2-sulfonamide', 'Aptivus(tm)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
797,Z-vad-fmk,"('Z-vad-fmk', 'Z-vad(oh)-fmk', 'Caspase inhibitor vi', 'Z-val-ala-asp-ch2f', 'Benzyloxycarbonyl-val-ala-asp-fluoromethylketone')",[],,['INFO'],['INFO'],['INFO'],['INFO']
798,Butoconazole,"('Butoconazole (nitrate)', 'Rs 35887', 'Butoconazole', 'Butaconazole', 'Butoconazol')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
799,(s)-flurbiprofen,"('(s)-flurbiprofen', 'Esflurbiprofen', '(s)-2-fluoro-alpha-methyl-4-biphenylacetic acid', ""(s)-2-(2-fluoro-[1,1'-biphenyl]-4-yl)propanoic acid"", 'S-flurbiprofen')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
800,Cebutid,"('Flurbiprofen', 'Ansaid', 'Froben', 'Antadys', 'Cebutid')",[],,['MEDICAL'],['INFO'],['MEDICAL'],['MEDICAL']
801,R-flurbiprofen,"('Tarenflurbil', '(r)-flurbiprofen', 'Flurizan', 'R-flurbiprofen', '(r)-2-flurbiprofen')",[],,['MEDICAL'],['INFO'],['INFO'],['INFO']
802,Cortineff,"('Fludrocortisone acetate', 'Scherofluron', 'Cortineff', 'Florinef acetate', 'Alflorone acetate')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
803,Taladegib,"('Taladegib', 'Ly 2940680', 'Taladegib (ly2940680)', 'Benzamide, 4-fluoro-n-methyl-n-(1-(4-(1-methyl-1h-pyrazol-5-yl)-1-phthalazinyl)-4-piperidinyl)-2-(trifluoromethyl)-', 'Benzamide, 4-fluoro-n-methyl-n-[1-[4-(1-methyl-1h-pyrazol-5-yl)-1-phthalazinyl]-4-piperidinyl]-2-(trifluoromethyl)-')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
804,Epidaza,"('Tucidinostat', 'Chidamide', 'Cs 055', 'Epidaza', '(e)-n-(2-amino-4-fluorophenyl)-4-((3-(pyridin-3-yl)acrylamido)methyl)benzamide')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
805,Sofosbuvir,"('Sofosbuvir', 'Propan-2-yl (2s)-2-[[[(2r,3r,4r,5r)-5-(2,4-dioxopyrimidin-1-yl)-4-fluoro-3-hydroxy-4-methyloxolan-2-yl]methoxy-phenoxyphosphoryl]amino]propanoate', 'Gs 7977', 'Sofosbuvir [usan:inn]', 'Hepcinat')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
806,Idasanutlin,"('Idasanutlin', 'Idasanutlin (rg-7388)', 'Idasanutlin (rg7388)', 'Benzoic acid, 4-((((2r,3s,4r,5s)-3-(3-chloro-2-fluorophenyl)-4-(4-chloro-2-fluorophenyl)-4-cyano-5-(2,2-dimethylpropyl)-2-pyrrolidinyl)carbonyl)amino)-3-methoxy-', 'Benzoic acid, 4-[[[(2r,3s,4r,5s)-3-(3-chloro-2-fluorophenyl)-4-(4-chloro-2-fluorophenyl)-4-cyano-5-(2,2-dimethylpropyl)-2-pyrrolidinyl]carbonyl]amino]-3-methoxy-')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
807,Fenoldopam,"('Fenoldopam (mesylate)', 'Fenoldopam methanesulfonate', 'Fenoldopam', 'Fenoldopamum [latin]', 'Fenoldopamum')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
808,Clofibrin,"('Clofibric acid', 'Chlorofibrinic acid', 'Clofibrin', 'Clofibrinic acid', 'Chlorfibrinic acid')",[],,"['MEDICAL', 'INDUSTRIAL']",['INFO'],['INFO'],['INFO']
809,Vyndamax,"('Tafamidis', 'Vyndamax', 'Tafamidis [usan:inn]', 'Tafamidisum', 'Tafamidis-meglumine')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
810,Zyvoxam,"('Linezolid', 'Zyvox', '(s)-n-((3-(3-fluoro-4-morpholinophenyl)-2-oxooxazolidin-5-yl)methyl)acetamide', 'Zyvoxid', 'Zyvoxam')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
811,Biomioran,"('Chlorzoxazone', 'Paraflex', 'Chloroxazone', 'Chlorzoxazon', 'Biomioran')",[],,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
812,Lederspan,"('Triamcinolone hexacetonide', 'Lederspan', 'Cl 34433', 'Tiamcinoloni hexacetonidum [inn]', '[2-[(1s,2s,4r,8s,9s,11s,12r,13s)-12-fluoro-11-hydroxy-6,6,9,13-tetramethyl-16-oxo-5,7-dioxapentacyclo[10.8.0.02,9.04,8.013,18]icosa-14,17-dien-8-yl]-2-oxoethyl] 3,3-dimethylbutanoate')",[],,['INFO'],['MEDICAL'],['MEDICAL'],['MEDICAL']
813,Olverembatinib,"('Olverembatinib', 'Benzamide, 4-methyl-n-[4-[(4-methyl-1-piperazinyl)methyl]-3-(trifluoromethyl)phenyl]-3-[2-(1h-pyrazolo[3,4-b]pyridin-5-yl)ethynyl]-', 'Benzamide, 4-methyl-n-(4-((4-methyl-1-piperazinyl)methyl)-3-(trifluoromethyl)phenyl)-3-(2-(1h-pyrazolo(3,4-b)pyridin-5-yl)ethynyl)-', 'Olverembatinib [usan]', 'Olverembatinib dimesylate')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
814,Licofelone,"('Licofelone', 'Ml 3000', '(6-(4-chlorophenyl)-2,2-dimethyl-7-phenyl-2,3-dihydro-1h-pyrrolizin-5-yl)acetic acid', '[6-(4-chlorophenyl)-2,2-dimethyl-7-phenyl-2,3-dihydro-1h-pyrrolizin-5-yl]acetic acid', 'Licofelone [inn]')",[],,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
815,Bosutinib,"('Bosutinib', 'Bosutinib (ski-606)', 'Bosutinib (usan)', 'Bosutinib [usan:inn]', 'Bosutinib,ski-606')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
816,Singulair,"('Montelukast (sodium)', 'Montelukast', 'Singulair', 'Singular', '(r-(e))-1-(((1-(3-(2-(7-chloro-2-quinolinyl)ethenyl)phenyl)-3-(2-(1-hydroxy-1-methylethyl)phenyl)propyl)thio)methyl)cyclopropaneacetic acid')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
817,Piperaquine phosphate,"('Piperaquine (tetraphosphate tetrahydrate)', 'Piperaquine', 'Piperaquine phosphate', 'Piperaquinoline', ""Quinoline, 4,4'-(1,3-propanediyldi-4,1-piperazinediyl)bis[7-chloro-"")",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
818,Roniciclib,"('Roniciclib', 'Roniciclib [inn]', 'Roniciclib (synonyms: bay 1000394)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
819,Naporafenib,"('Naporafenib', 'N-(3-(2-(2-hydroxyethoxy)-6-morpholinopyridin-4-yl)-4-methylphenyl)-2-(trifluoromethyl)isonicotinamide', 'Pan-raf inhibitor lxh254', 'N-[3-[2-(2-hydroxyethoxy)-6-morpholin-4-ylpyridin-4-yl]-4-methylphenyl]-2-(trifluoromethyl)pyridine-4-carboxamide', 'N-{3-[2-(2-hydroxyethoxy)-6-(morpholin-4-yl)pyridin-4-yl]-4-methylphenyl}-2-(trifluoromethyl)pyridine-4-carboxamide')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
820,Nvp-lcl 161,"('(s)-n-((s)-1-cyclohexyl-2-((s)-2-(4-(4-fluorobenzoyl)thiazol-2-yl)pyrrolidin-1-yl)-2-oxoethyl)-2-(methylamino)propanamide', '(2s)-n-[(1s)-1-cyclohexyl-2-[(2s)-2-[4-(4-fluorobenzoyl)-1,3-thiazol-2-yl]pyrrolidin-1-yl]-2-oxoethyl]-2-(methylamino)propanamide', 'Nvp-lcl 161', 'Ex-a533', 'S7009')",[],,['INFO'],['INFO'],['INFO'],['INFO']
821,Lumacaftor,"('Lumacaftor', 'Vx 809', 'Lumacaftor [usan:inn]', 'Lumacaftor (usan)', 'Lumacaftor (vx-809)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
822,Clindamycin phosphate,"('Clindamycin (phosphate)', 'Clindamycin 2-dihydrogen phosphate', 'Clindamycin 2-phosphate', 'Clindamycin phosphate', 'Cleocin t')",['Personal care'],['PERSONAL CARE'],['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
823,Caprelsa,"('Vandetanib', 'Zactima', 'Caprelsa', 'N-(4-bromo-2-fluorophenyl)-6-methoxy-7-((1-methylpiperidin-4-yl)methoxy)quinazolin-4-amine', 'Vandetanib (zd6474)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
824,Floxapen,"('Flucloxacillin sodium', 'Flucloxacillin', 'Floxapen', 'Flucloxacilina', 'Flucloxacilline')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
825,Mk 8245,"('Mk 8245', 'Ex-a2267', 'S1158', '(5-{3-[4-(2-bromo-5-fluorophenoxy)piperidin-1-yl]isoxazol-5-yl}-2h-tetrazol-2-yl)acetic acid')",[],,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
826,Tomtovok,"('Afatinib', 'Tovok', 'Tomtovok', 'Afatinib (bibw2992)', '(s,e)-n-(4-((3-chloro-4-fluorophenyl)amino)-7-((tetrahydrofuran-3-yl)oxy)quinazolin-6-yl)-4-(dimethylamino)but-2-enamide')",[],,['MEDICAL'],['INFO'],['MEDICAL'],['INFO']
827,Flindokalner,"('Flindokalner', 'Maxipost', '(3s)-3-(5-chloro-2-methoxyphenyl)-3-fluoro-6-(trifluoromethyl)-1,3-dihydro-2h-indol-2-one', 'Maxipost (tn)', '(3s)-3-(5-chloro-2-methoxyphenyl)-3-fluoro-6-(trifluoromethyl)-1h-indol-2-one')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
828,Trofosfamide,"('Trofosfamide', 'Trophosphamide', 'Ixoten', 'Trifosfamide', 'Trofosfamid')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
829,Otenabant,"('Otenabant', 'Otenabant free base', 'Cp 945598', 'Otenabant [usan:inn]', 'Otenabant (usan/inn)')",[],,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
830,Avitinib,"('Avitinib (maleate)', 'Avitinib', 'Abivertinib', 'N-(3-((2-((3-fluoro-4-(4-methylpiperazin-1-yl)phenyl)amino)-7h-pyrrolo[2,3-d]pyrimidin-4-yl)oxy)phenyl)acrylamide', 'Ex-acea0010')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
831,Basimglurant,"('Basimglurant', 'Ro4917523', 'Basimglurant [usan:inn]', 'Rg 7090', 'Ro 4917523')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
832,Golvatinib,"('Golvatinib', 'Golvatinib (e7050)', 'Golvatinib (usan)', ""N-[2-fluoro-4-[[2-[[[4-(4-methylpiperazin-1-yl)piperidin-1-yl]carbonyl]amino]pyridin-4-yl]oxy]phenyl]-n'-(4-fluorophenyl)cyclopropane-1,1-dicarboxamide"", 'Golvatinib tartrate')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
833,Rinderon,"('Betamethasone', 'Betadexamethasone', 'Flubenisolone', 'Betamethazone', 'Rinderon')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
834,Maxidex,"('Dexamethasone', 'Hexadecadrol', 'Prednisolone f', 'Decadron', 'Maxidex')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
835,Batefenterol,"('Batefenterol', ""(r)-1-(3-((2-chloro-4-(((2-hydroxy-2-(8-hydroxy-2-oxo-1,2-dihydroquinolin-5-yl)ethyl)amino)methyl)-5-methoxyphenyl)amino)-3-oxopropyl)piperidin-4-yl [1,1'-biphenyl]-2-ylcarbamate"", 'Batefenterol [usan:inn]', 'Batefenterol?', 'Batefenterol (usan)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
836,Isturisa,"('Osilodrostat', 'Isturisa', 'Osilodrostat free base', '(r)-4-(6,7-dihydro-5h-pyrrolo[1,2-c]imidazol-5-yl)-3-fluorobenzonitrile', 'Osilodrostat [usan:inn]')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
837,Aubagio,"('Teriflunomide', 'Aubagio', 'Flucyamide', '(z)-2-cyano-3-hydroxy-n-(4-(trifluoromethyl)phenyl)but-2-enamide', 'A 771726')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
838,Cyproteron acetate,"('Cyproterone acetate', 'Androcur', 'Cyproterone 17-o-acetate', 'Cyproteroneacetate', 'Cyproteron acetate')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
839,Varlitinib,"('Varlitinib', 'Varlitinib (arry334543)', '(r)-n4-(3-chloro-4-(thiazol-2-ylmethoxy)phenyl)-n6-(4-methyl-4,5-dihydrooxazol-2-yl)quinazoline-4,6-diamine', '(r)-n4-(3-chloro-4-(thiazol-2-ylmethoxy)phenyl)-n6-(4-methyl-4,5-dihydrooxazol-2-yl)quinazoline-4,6-diamine.', 'Varlitinib [usan:inn]')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
840,Alovudine,"('Alovudine', 'Fddt', ""Thymidine, 3'-deoxy-3'-fluoro-"", 'Fddthd', 'Cl 184824')",[],,['MEDICAL'],['MEDICAL'],['INFO'],['INFO']
841,Tarafenacin,"('Tarafenacin (d-tartrate)', 'Tarafenacin', '(3r)-1-azabicyclo[2.2.2]octan-3-yl (3-fluorophenyl)[(3,4,5-trifluorophenyl)methyl]carbamate', 'Tarafenacin [inn]', 'Tarafenacin(svt-40776)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['INFO']
842,Verzenio,"('Abemaciclib', 'Verzenio', 'N-(5-((4-ethylpiperazin-1-yl)methyl)pyridin-2-yl)-5-fluoro-4-(4-fluoro-1-isopropyl-2-methyl-1h-benzo[d]imidazol-6-yl)pyrimidin-2-amine', 'N-[5-[(4-ethylpiperazin-1-yl)methyl]pyridin-2-yl]-5-fluoro-4-(7-fluoro-2-methyl-3-propan-2-ylbenzimidazol-5-yl)pyrimidin-2-amine', 'Abemaciclib (ly2835219)')",[],,['MEDICAL'],['MEDICAL'],['MEDICAL'],['MEDICAL']
